id,description,category
1,"Data Structures and Algorithms form the foundation of computer programming","Computer Science"
2,"Calculus I introduces limits, derivatives, and integrals","Mathematics"
3,"Machine Learning teaches models like regression, decision trees, and neural networks","Artificial Intelligence"
4,"Modern World History covers key events from the 18th century to present day","Humanities"
5,"Operating Systems explore memory management, processes, and scheduling","Computer Science"
6,"Linear Algebra is crucial for understanding matrix operations and vector spaces","Mathematics"
7,"Deep Learning focuses on neural networks and backpropagation","Artificial Intelligence"
8,"Psychology 101 introduces cognitive processes and behavior","Social Science"
9,"Discrete Mathematics includes combinatorics, graphs, and logic","Computer Science"
10,"Microeconomics studies supply, demand, and market equilibrium","Economics"
11,"Database Systems teach SQL, relational models, and transactions","Computer Science"
12,"Ethics in Technology discusses privacy, surveillance, and digital responsibility","Humanities"
13,"Artificial Intelligence examines search algorithms, agents, and reasoning","Artificial Intelligence"
14,"Probability and Statistics teach data distributions and hypothesis testing","Mathematics"
15,"Web Development covers HTML, CSS, JavaScript, and backend programming","Computer Science"
16,"Sociology explores institutions, culture, and social interaction","Social Science"
17,"Numerical Methods solve mathematical problems using algorithms","Mathematics"
18,"Natural Language Processing focuses on text, language models, and sentiment analysis","Artificial Intelligence"
19,"Philosophy introduces critical thinking, ethics, and logic","Humanities"
20,"Computer Networks cover protocols, IP addressing, and routing","Computer Science"
21,"Game Theory models strategic interaction among rational agents","Economics"
22,"Compiler Design involves lexical analysis, parsing, and optimization","Computer Science"
23,"Educational Psychology examines learning theories and motivation","Education"
24,"Mobile App Development teaches iOS and Android programming","Computer Science"
25,"Real Analysis focuses on limits, sequences, and continuity","Mathematics"
26,"Cognitive Science bridges psychology, AI, neuroscience, and linguistics","Interdisciplinary"
27,"Cloud Computing introduces virtualization, containers, and distributed systems","Computer Science"
28,"Macroeconomics studies inflation, GDP, and monetary policy","Economics"
29,"Digital Signal Processing analyzes audio, image, and video signals","Electrical Engineering"
30,"Cybersecurity covers cryptography, threat modeling, and network defense","Computer Science"
31,Knowledge Representation is fundamental to deductive systems,Mathematics
32,Understanding Data Ethics helps improve dynamics of interacting components,Education
